NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   8610.52 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  15449.93 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  13137.33 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  17597.50 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  10325.63 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   340 =  33.20% , Elapsed time =  11353.24 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   324 =  31.64% , Elapsed time =  17201.97 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   350 =  34.18% , Elapsed time =  14528.36 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   296 =  28.91% , Elapsed time =   8223.19 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   247 =  24.12% , Elapsed time =   6288.66 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   299 =  29.20% , Elapsed time =   8407.10 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   277 =  27.05% , Elapsed time =   7309.49 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   367 =  35.84% , Elapsed time =   8250.41 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   366 =  35.74% , Elapsed time =  14377.70 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   225 =  21.97% , Elapsed time =  10024.29 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  11196.17 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  17649.19 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  19314.44 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   7579.94 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   8689.76 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   628 =  30.66% , Elapsed time =   5286.45 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   717 =  35.01% , Elapsed time =  10234.38 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   599 =  29.25% , Elapsed time =   6854.43 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   675 =  32.96% , Elapsed time =   8472.31 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   668 =  32.62% , Elapsed time =   6349.52 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   709 =  34.62% , Elapsed time =  17503.78 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   669 =  32.67% , Elapsed time =   9078.16 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   701 =  34.23% , Elapsed time =  10573.76 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   660 =  32.23% , Elapsed time =   8284.40 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =  14400.12 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   9418.28 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  11167.29 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  10174.83 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  12088.58 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  11822.26 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1248 =  30.47% , Elapsed time =  10834.20 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1255 =  30.64% , Elapsed time =  10063.12 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1303 =  31.81% , Elapsed time =  18571.32 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1336 =  32.62% , Elapsed time =  12306.44 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1400 =  34.18% , Elapsed time =  12990.72 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1311 =  32.01% , Elapsed time =   6948.85 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =  14725.79 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1253 =  30.59% , Elapsed time =   7472.52 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1600 =  39.06% , Elapsed time =   9983.63 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1368 =  33.40% , Elapsed time =  11640.65 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   9777.83 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  21694.29 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  12670.17 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  13947.32 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  12558.79 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2437 =  29.75% , Elapsed time =   9223.14 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  1423 =  17.37% , Elapsed time =  49883.13 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  3092 =  37.74% , Elapsed time =  10511.68 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2298 =  28.05% , Elapsed time =  18451.05 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2463 =  30.07% , Elapsed time =   7702.98 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2551 =  31.14% , Elapsed time =  10078.19 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =   4239.09 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =   9000.06 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2726 =  33.28% , Elapsed time =  11060.93 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2834 =  34.59% , Elapsed time =   9944.94 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  21535.50 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  20963.74 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  16041.26 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     5 =   0.03% , Elapsed time =  14094.47 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  14197.55 microseconds
